Players\GameRound | Total | Game1 | Game2 | Game3 | Game4 | Game5 | Game6 | Game7 | Game8 | Game9 | Game10
伊泽                | 57    | 6     | 7     | 8     | 6     | 3     | 3     | 8     | 5     | 4     | 7     
慎独                | 53    | 5     | 5     | 6     | 5     | 8     | 4     | 6     | 4     | 8     | 2     
初七                | 51    | 7     | 8     | 4     | 7     | 5     | 5     | 3     | 3     | 6     | 3     
幻灭                | 45    | 8     | 2     | 7     | 8     | 4     | 2     | 1     | 1     | 7     | 5     
弃徒                | 44    | 3     | 4     | 2     | 1     | 6     | 6     | 7     | 8     | 3     | 4     
胡鑫                | 42    | 1     | 3     | 5     | 2     | 7     | 7     | 5     | 2     | 2     | 8     
红莲                | 35    | 4     | 6     | 3     | 3     | 1     | 8     | 2     | 6     | 1     | 1     
教练                | 33    | 2     | 1     | 1     | 4     | 2     | 1     | 4     | 7     | 5     | 6     

